# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
85000 9.79918 -8.81549
85100 12.6655 -7.95492
85200 12.6948 -13.4159
85300 9.23811 -11.0417
85400 8.64731 -11.471
85500 13.1219 -10.297
85600 9.33496 -11.1457
85700 13.6292 -10.7423
85800 11.0352 -12.0572
85900 10.5754 -8.13796
86000 9.13562 -14.1789
86100 11.9298 -11.156
86200 9.7947 -11.0065
86300 13.6315 -7.71349
86400 9.65783 -12.5895
86500 11.4023 -10.4575
86600 9.19838 -12.8222
86700 12.9782 -8.26723
86800 8.03566 -13.2101
86900 13.3565 -10.5024
87000 10.0859 -11.311
87100 12.2418 -6.99008
87200 8.7407 -14.6186
87300 13.1665 -11.8017
87400 8.85073 -11.07
87500 13.5371 -8.62835
87600 9.4587 -12.2229
87700 12.4338 -9.68548
87800 10.5587 -13.4579
87900 11.3371 -9.18256
88000 7.71853 -11.9981
88100 12.755 -10.3011
88200 12.4174 -12.0598
88300 10.7134 -8.34929
88400 8.7318 -11.4422
88500 12.6134 -13.1274
88600 9.87912 -10.3275
88700 11.362 -8.82755
88800 11.4622 -12.9942
88900 10.0325 -9.55053
89000 11.3211 -10.4607
89100 12.9985 -12.4273
89200 7.03408 -10.6855
89300 11.1437 -11.0293
89400 14.4062 -11.9205
89500 9.23048 -7.55731
89600 9.83881 -11.7101
89700 12.3532 -14.3829
89800 8.7487 -9.14135
89900 11.8543 -9.9746
90000 13.0376 -12.3262
90100 8.18773 -9.26045
90200 13.1642 -11.2784
90300 12.1884 -13.0927
90400 7.79088 -8.6211
90500 10.8925 -12.196
90600 13.431 -9.94072
90700 9.59301 -11.1153
90800 12.1357 -11.8593
90900 8.39012 -10.9781
91000 11.2431 -8.92282
91100 11.7499 -13.6706
91200 11.7056 -9.34699
91300 7.95049 -10.9126
91400 14.379 -9.8626
91500 10.262 -12.4291
91600 11.1136 -10.0462
91700 9.09025 -13.2397
91800 12.2766 -8.48331
91900 10.9772 -12.2422
92000 13.3569 -9.88693
92100 7.70545 -11.8522
92200 11.5649 -9.79607
92300 11.1879 -13.898
92400 12.1031 -9.39511
92500 7.88752 -10.6114
92600 12.5469 -9.64098
92700 10.7243 -11.6349
92800 12.3498 -10.3489
92900 8.04308 -12.2509
93000 12.6235 -9.799
93100 10.2579 -10.8155
93200 11.3843 -9.7092
93300 12.1369 -13.5
93400 9.99416 -9.16568
93500 8.7675 -12.6065
93600 14.1735 -12.2138
93700 9.34686 -9.76291
93800 11.4854 -9.45158
93900 11.7145 -12.8155
94000 10.3347 -10.1544
94100 9.67606 -12.3678
94200 13.0994 -10.2498
94300 8.99308 -7.82906
94400 13.1613 -11.982
94500 11.122 -14.2436
94600 7.9927 -7.23148
94700 11.135 -11.9768
94800 13.6719 -12.6038
94900 7.92302 -10.0093
95000 13.7242 -11.465
95100 10.9456 -10.6365
95200 9.30642 -8.0994
95300 12.1156 -15.4125
95400 11.5214 -10.8031
95500 8.02636 -8.85662
95600 14.5257 -11.3076
95700 10.7488 -12.007
95800 9.75395 -8.15619
95900 10.474 -13.8063
96000 10.5619 -11.3568
96100 9.15781 -10.6573
96200 15.4137 -10.1317
96300 9.70843 -9.86305
96400 10.5047 -9.88611
96500 10.8503 -15.6214
96600 11.3386 -9.49647
96700 9.1543 -9.49552
96800 13.6559 -10.7815
96900 10.0181 -13.0153
97000 12.1039 -8.43581
97100 10.3334 -12.9166
97200 11.7495 -10.2406
97300 7.292 -12.4008
97400 14.0997 -10.8058
97500 10.8277 -10.8339
97600 10.8017 -7.45347
97700 10.3773 -13.7778
97800 12.7466 -11.773
97900 7.57398 -10.5685
98000 11.3498 -10.2445
98100 11.6539 -12.9716
98200 13.0219 -6.80983
98300 11.5478 -12.0803
98400 9.97006 -12.4091
98500 5.85407 -11.3641
98600 14.9946 -11.2355
98700 12.6644 -11.2582
98800 9.09336 -6.84622
98900 10.671 -12.938
99000 12.8963 -12.2407
99100 8.59533 -9.66993
99200 11.0637 -12.3321
99300 10.7602 -12.0194
99400 10.2274 -6.74744
